league,season,team,player,nation,pos,age,born,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt
ENG-Premier League,2526,Arsenal,Ben White,ENG,DF,27,1997,7.8,0,5,1,20.0,0.64,0.13,0.0,0.0,0,0
ENG-Premier League,2526,Arsenal,Bukayo Saka,ENG,"FW,MF",23,2001,24.7,7,71,27,38.0,2.88,1.09,0.08,0.22,1,1
ENG-Premier League,2526,Arsenal,Christian Nørgaard,DEN,MF,31,1994,1.2,0,2,1,50.0,1.7,0.85,0.0,0.0,0,0
ENG-Premier League,2526,Arsenal,Cristhian Mosquera,ESP,DF,21,2004,11.0,0,1,0,0.0,0.09,0.0,0.0,,0,0
ENG-Premier League,2526,Arsenal,David Raya,ESP,GK,29,1995,37.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Arsenal,Declan Rice,ENG,MF,26,1999,34.4,4,40,13,32.5,1.16,0.38,0.1,0.31,0,0
ENG-Premier League,2526,Arsenal,Eberechi Eze,ENG,"MF,FW",27,1998,20.1,7,57,18,31.6,2.83,0.89,0.12,0.39,0,0
ENG-Premier League,2526,Arsenal,Ethan Nwaneri,ENG,MF,18,2007,1.9,0,6,0,0.0,3.16,0.0,0.0,,0,0
ENG-Premier League,2526,Arsenal,Gabriel Jesus,BRA,FW,28,1997,4.8,3,19,12,63.2,3.99,2.52,0.16,0.25,0,0
ENG-Premier League,2526,Arsenal,Gabriel Magalhães,BRA,DF,27,1997,30.6,3,27,7,25.9,0.88,0.23,0.11,0.43,0,0
ENG-Premier League,2526,Arsenal,Gabriel Martinelli,BRA,"FW,MF",24,2001,12.0,1,29,13,44.8,2.41,1.08,0.03,0.08,0,0
ENG-Premier League,2526,Arsenal,Jurriën Timber,NED,DF,24,2001,27.3,3,25,7,28.0,0.92,0.26,0.12,0.43,0,0
ENG-Premier League,2526,Arsenal,Kai Havertz,GER,"FW,MF",26,1999,6.5,2,18,4,22.2,2.79,0.62,0.11,0.5,0,0
