league,season,team,player,nation,pos,age,born,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt
INT-World Cup,2018,Brazil,Filipe Luís,Brazil,DF,32,1985,1.9,0,1,1,100.0,0.53,0.53,0.0,0.0,0,0
INT-World Cup,2018,Brazil,Gabriel Jesus,Brazil,FW,21,1997,4.5,0,9,1,11.1,2.0,0.22,0.0,0.0,0,0
INT-World Cup,2018,Brazil,Marcelo,Brazil,DF,30,1988,3.1,0,5,2,40.0,1.61,0.65,0.0,0.0,0,0
INT-World Cup,2018,Brazil,Marquinhos,Brazil,"DF,MF",24,1994,0.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Brazil,Miranda,Brazil,DF,33,1984,5.0,0,1,0,0.0,0.2,0.0,0.0,,0,0
INT-World Cup,2018,Brazil,Neymar,Brazil,MF,26,1992,5.0,2,26,13,50.0,5.2,2.6,0.08,0.15,0,0
INT-World Cup,2018,Brazil,Paulinho,Brazil,MF,29,1988,3.9,1,6,3,50.0,1.55,0.77,0.17,0.33,0,0
INT-World Cup,2018,Brazil,Philippe Coutinho,Brazil,MF,26,1992,4.8,2,23,8,34.8,4.77,1.66,0.09,0.25,0,0
INT-World Cup,2018,Brazil,Renato Augusto,Brazil,MF,30,1988,0.6,1,3,2,66.7,5.09,3.4,0.33,0.5,0,0
INT-World Cup,2018,Brazil,Roberto Firmino,Brazil,"FW,MF",26,1991,0.9,1,7,2,28.6,7.41,2.12,0.14,0.5,0,0
INT-World Cup,2018,Brazil,Thiago Silva,Brazil,DF,33,1984,5.0,1,7,1,14.3,1.4,0.2,0.14,1.0,0,0
INT-World Cup,2018,Brazil,Willian,Brazil,MF,29,1988,4.0,0,5,2,40.0,1.25,0.5,0.0,0.0,0,0
INT-World Cup,2018,Colombia,Abel Aguilar,Colombia,MF,33,1985,0.3,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Colombia,Carlos Bacca,Colombia,FW,31,1986,1.0,0,2,0,0.0,1.91,0.0,0.0,,0,0
INT-World Cup,2018,Colombia,Carlos Sánchez,Colombia,MF,32,1986,1.9,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Colombia,Cristián Zapata,Colombia,DF,31,1986,0.1,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Colombia,David Ospina,Colombia,GK,29,1988,4.3,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Colombia,Davinson Sánchez,Colombia,DF,22,1996,4.3,0,2,0,0.0,0.46,0.0,0.0,,0,0
INT-World Cup,2018,Colombia,James Rodríguez,Colombia,MF,26,1991,1.7,0,3,0,0.0,1.78,0.0,0.0,,0,0
INT-World Cup,2018,Colombia,Jefferson Lerma,Colombia,MF,23,1994,2.0,0,1,0,0.0,0.51,0.0,0.0,,0,0
INT-World Cup,2018,Colombia,Johan Mojica,Colombia,DF,25,1992,4.3,0,1,0,0.0,0.23,0.0,0.0,,0,0
INT-World Cup,2018,Colombia,José Izquierdo,Colombia,MF,25,1992,0.8,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Colombia,Juan Cuadrado,Colombia,MF,30,1988,3.7,1,6,1,16.7,1.64,0.27,0.17,1.0,0,0
INT-World Cup,2018,Colombia,Juan Quintero,Colombia,MF,25,1993,3.4,1,8,3,37.5,2.35,0.88,0.13,0.33,0,0
INT-World Cup,2018,Colombia,Luis Muriel,Colombia,FW,27,1991,1.0,0,1,0,0.0,0.97,0.0,0.0,,0,0
INT-World Cup,2018,Colombia,Mateus Uribe,Colombia,MF,27,1991,2.0,0,2,2,100.0,0.98,0.98,0.0,0.0,0,0
INT-World Cup,2018,Colombia,Miguel Borja,Colombia,FW,25,1993,0.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Colombia,Radamel Falcao,Colombia,FW,32,1986,4.2,1,8,4,50.0,1.92,0.96,0.13,0.25,0,0
INT-World Cup,2018,Colombia,Santiago Arias,Colombia,DF,26,1992,4.3,0,1,0,0.0,0.23,0.0,0.0,,0,0
INT-World Cup,2018,Colombia,Wílmar Barrios,Colombia,MF,24,1993,3.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Colombia,Yerry Mina,Colombia,DF,23,1994,3.3,3,3,3,100.0,0.9,0.9,1.0,1.0,0,0
INT-World Cup,2018,Colombia,Óscar Murillo,Colombia,DF,30,1988,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0
INT-World Cup,2018,Costa Rica,Bryan Oviedo,Costa Rica,DF,28,1990,2.0,0,3,1,33.3,1.5,0.5,0.0,0.0,0,0
INT-World Cup,2018,Costa Rica,Bryan Ruiz,Costa Rica,FW,32,1985,3.0,0,2,0,0.0,0.67,0.0,0.0,,0,1
INT-World Cup,2018,Costa Rica,Celso Borges,Costa Rica,MF,30,1988,3.0,0,5,2,40.0,1.67,0.67,0.0,0.0,0,0
INT-World Cup,2018,Costa Rica,Christian Bolaños,Costa Rica,MF,34,1984,0.8,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Costa Rica,Cristian Gamboa,Costa Rica,DF,28,1989,2.8,0,3,2,66.7,1.07,0.71,0.0,0.0,0,0
INT-World Cup,2018,Costa Rica,Daniel Colindres,Costa Rica,FW,33,1985,1.1,0,3,0,0.0,2.76,0.0,0.0,,0,0
INT-World Cup,2018,Costa Rica,David Guzmán,Costa Rica,MF,28,1990,2.7,0,1,0,0.0,0.37,0.0,0.0,,0,0
INT-World Cup,2018,Costa Rica,Francisco Calvo,Costa Rica,DF,25,1992,1.2,0,1,0,0.0,0.85,0.0,0.0,,0,0
INT-World Cup,2018,Costa Rica,Giancarlo González,Costa Rica,DF,30,1988,3.0,0,2,1,50.0,0.67,0.33,0.0,0.0,0,0
INT-World Cup,2018,Costa Rica,Ian Smith,Costa Rica,MF,20,1998,0.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Costa Rica,Joel Campbell,Costa Rica,FW,25,1992,1.3,0,3,1,33.3,2.35,0.78,0.0,0.0,0,0
INT-World Cup,2018,Costa Rica,Johan Venegas,Costa Rica,FW,29,1988,1.7,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Costa Rica,Johnny Acosta,Costa Rica,DF,34,1983,3.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Costa Rica,Kendall Waston,Costa Rica,DF,30,1988,1.0,1,1,1,100.0,1.0,1.0,1.0,1.0,0,0
INT-World Cup,2018,Costa Rica,Keylor Navas,Costa Rica,GK,31,1986,3.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Costa Rica,Marco Ureña,Costa Rica,FW,28,1990,1.3,0,2,1,50.0,1.53,0.76,0.0,0.0,0,0
INT-World Cup,2018,Costa Rica,Randall Azofeifa,Costa Rica,MF,33,1984,0.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Costa Rica,Rodney Wallace,Costa Rica,"DF,MF",29,1988,0.1,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Costa Rica,Yeltsin Tejeda,Costa Rica,MF,26,1992,0.1,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Costa Rica,Óscar Duarte,Costa Rica,DF,29,1989,2.0,0,2,0,0.0,1.0,0.0,0.0,,0,0
INT-World Cup,2018,Croatia,Andrej Kramarić,Croatia,"MF,FW",26,1991,3.7,1,11,2,18.2,2.96,0.54,0.09,0.5,0,0
