league,season,team,player,nation,pos,age,born,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
INT-World Cup,2022,Brazil,Dani Alves,Brazil,DF,39,1983,1.3,0,0,0,5,2,0,6,2,4,,,0
INT-World Cup,2022,Brazil,Danilo,Brazil,DF,30,1991,3.1,1,0,0,3,1,0,8,3,2,,,0
INT-World Cup,2022,Brazil,Ederson Moraes,Brazil,GK,28,1993,1.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Brazil,Everton Ribeiro,Brazil,MF,33,1989,0.4,0,0,0,0,0,0,2,0,0,,,0
INT-World Cup,2022,Brazil,Fabinho,Brazil,MF,28,1993,1.0,0,0,0,2,0,0,0,1,2,,,0
INT-World Cup,2022,Brazil,Fred,Brazil,MF,29,1993,1.6,1,0,0,3,0,0,0,0,3,,,0
INT-World Cup,2022,Brazil,Gabriel Jesus,Brazil,FW,25,1997,1.0,0,0,0,1,4,0,1,2,1,,,0
INT-World Cup,2022,Brazil,Gabriel Martinelli,Brazil,FW,20,2001,1.3,0,0,0,2,3,1,5,0,1,,,0
INT-World Cup,2022,Brazil,Gleison Bremer,Brazil,DF,25,1997,1.2,0,0,0,2,0,0,0,1,1,,,0
INT-World Cup,2022,Brazil,Lucas Paquetá,Brazil,MF,24,1997,3.5,0,0,0,4,2,0,4,2,5,,,0
INT-World Cup,2022,Brazil,Marquinhos,Brazil,DF,28,1994,4.7,1,0,0,1,2,0,1,2,4,,,0
INT-World Cup,2022,Brazil,Neymar,Brazil,"MF,FW",30,1992,3.1,0,0,0,4,16,2,8,1,0,,,0
INT-World Cup,2022,Brazil,Pedro,Brazil,FW,24,1997,0.7,0,0,0,2,1,0,0,1,2,,,0
INT-World Cup,2022,Brazil,Raphinha,Brazil,"FW,MF",25,1996,3.5,0,0,0,2,5,0,22,3,6,,,0
INT-World Cup,2022,Brazil,Richarlison,Brazil,FW,25,1997,3.6,0,0,0,5,6,1,2,1,2,,,0
INT-World Cup,2022,Brazil,Rodrygo,Brazil,MF,21,2001,2.0,0,0,0,3,6,1,9,2,1,,,0
INT-World Cup,2022,Brazil,Thiago Silva,Brazil,DF,37,1984,4.3,0,0,0,2,3,0,1,5,2,,,0
INT-World Cup,2022,Brazil,Vinicius Júnior,Brazil,"FW,MF",21,2000,3.3,0,0,0,0,7,3,13,0,1,,,0
INT-World Cup,2022,Brazil,Wéverton,Brazil,GK,34,1987,0.1,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Brazil,Éder Militão,Brazil,DF,24,1998,3.9,1,0,0,7,3,0,3,3,5,,,0
INT-World Cup,2022,Cameroon,Andre-Frank Zambo Anguissa,Cameroon,MF,26,1995,2.9,0,0,0,6,4,0,2,5,0,,,0
INT-World Cup,2022,Cameroon,André Onana,Cameroon,GK,26,1996,0.9,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Cameroon,Bryan Mbeumo,Cameroon,"FW,MF",22,1999,2.6,0,0,0,1,8,0,12,1,0,,,0
INT-World Cup,2022,Cameroon,Christian Bassogog,Cameroon,"FW,MF",26,1995,0.3,1,0,0,0,1,0,2,1,0,,,0
INT-World Cup,2022,Cameroon,Christopher Wooh,Cameroon,DF,20,2001,1.0,0,0,0,2,0,0,0,1,1,,,0
INT-World Cup,2022,Cameroon,Collins Fai,Cameroon,DF,29,1992,3.0,2,0,0,4,4,0,13,4,1,,,0
INT-World Cup,2022,Cameroon,Devis Epassy,Cameroon,GK,29,1993,2.0,0,0,0,0,1,0,0,0,0,,,0
INT-World Cup,2022,Cameroon,Enzo Ebosse,Cameroon,DF,23,1999,1.0,0,0,0,0,0,0,0,0,2,,,0
INT-World Cup,2022,Cameroon,Eric Maxim Choupo-Moting,Cameroon,FW,33,1989,2.8,0,0,0,0,1,1,0,1,2,,,0
INT-World Cup,2022,Cameroon,Gaël Ondoua,Cameroon,MF,26,1995,0.5,0,0,0,2,1,0,0,2,2,,,0
INT-World Cup,2022,Cameroon,Georges-Kévin N'Koudou,Cameroon,"FW,MF",27,1995,0.3,0,0,0,1,1,0,2,0,0,,,0
INT-World Cup,2022,Cameroon,Jean-Charles Castelletto,Cameroon,DF,27,1995,2.0,0,0,0,1,1,0,3,6,3,,,0
INT-World Cup,2022,Cameroon,Jerome Ngom Mbekeli,Cameroon,MF,23,1998,0.1,0,0,0,0,0,0,2,0,0,,,0
INT-World Cup,2022,Cameroon,Karl Toko Ekambi,Cameroon,FW,29,1992,1.8,0,0,0,0,3,0,3,1,1,,,0
INT-World Cup,2022,Cameroon,Martin Hongla,Cameroon,MF,24,1998,1.3,0,0,0,1,1,1,1,2,0,,,0
INT-World Cup,2022,Cameroon,Moumi Ngamaleu,Cameroon,MF,27,1994,1.1,0,0,0,3,5,0,1,0,1,,,0
INT-World Cup,2022,Cameroon,Nicolas Nkoulou,Cameroon,DF,32,1990,2.0,1,0,0,2,2,0,0,5,0,,,0
