league,season,team,player,nation,pos,age,born,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
INT-World Cup,2022,Netherlands,Nathan Aké,Netherlands,DF,27,1995,5.3,1,0,0,4,6,0,0,8,3,,,0
INT-World Cup,2022,Netherlands,Noa Lang,Netherlands,"FW,MF",22,1999,0.1,1,0,0,0,0,0,1,1,0,,,0
INT-World Cup,2022,Netherlands,Steven Berghuis,Netherlands,MF,30,1991,2.2,1,0,0,4,0,0,13,0,1,,,0
INT-World Cup,2022,Netherlands,Steven Bergwijn,Netherlands,FW,24,1997,2.4,1,0,0,2,4,0,0,0,1,,,0
INT-World Cup,2022,Netherlands,Teun Koopmeiners,Netherlands,MF,24,1998,2.4,1,0,0,6,1,0,2,3,5,,,0
INT-World Cup,2022,Netherlands,Vincent Janssen,Netherlands,FW,27,1994,1.0,0,0,0,2,2,0,0,0,0,,,0
INT-World Cup,2022,Netherlands,Virgil van Dijk,Netherlands,DF,30,1991,5.3,0,0,0,5,2,0,0,4,1,,,0
INT-World Cup,2022,Netherlands,Wout Weghorst,Netherlands,FW,29,1992,0.7,1,0,0,5,1,1,0,0,0,,,0
INT-World Cup,2022,Netherlands,Xavi Simons,Netherlands,"FW,MF",19,2003,0.1,0,0,0,0,1,0,0,0,0,,,0
INT-World Cup,2022,Poland,Arkadiusz Milik,Poland,FW,28,1994,1.1,1,0,0,1,2,1,0,0,0,,,0
INT-World Cup,2022,Poland,Artur Jędrzejczyk,Poland,DF,34,1987,0.2,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Poland,Bartosz Bereszyński,Poland,DF,29,1992,3.8,1,0,0,5,3,0,4,3,2,,,0
INT-World Cup,2022,Poland,Damian Szymański,Poland,MF,26,1995,0.3,0,0,0,0,0,0,0,1,0,,,0
INT-World Cup,2022,Poland,Grzegorz Krychowiak,Poland,MF,32,1990,3.7,1,0,0,6,7,0,1,5,4,,,0
INT-World Cup,2022,Poland,Jakub Kamiński,Poland,MF,20,2002,2.6,0,0,0,5,2,0,4,0,1,,,0
INT-World Cup,2022,Poland,Jakub Kiwior,Poland,DF,22,2000,3.9,1,0,0,1,0,0,0,3,1,,,0
INT-World Cup,2022,Poland,Jan Bednarek,Poland,DF,26,1996,0.1,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Poland,Kamil Glik,Poland,DF,34,1988,4.0,0,0,0,2,0,0,0,3,1,,,0
INT-World Cup,2022,Poland,Kamil Grosicki,Poland,"FW,MF",34,1988,0.0,0,0,0,0,0,0,3,0,0,,,0
INT-World Cup,2022,Poland,Karol Świderski,Poland,MF,25,1997,0.5,0,0,0,0,1,0,0,2,1,,,0
INT-World Cup,2022,Poland,Krystian Bielik,Poland,MF,24,1998,2.4,0,0,0,5,4,0,0,4,2,,,0
INT-World Cup,2022,Poland,Krzysztof Piątek,Poland,FW,26,1995,0.3,0,0,0,0,1,0,0,0,0,,,0
INT-World Cup,2022,Poland,Matty Cash,Poland,DF,24,1997,4.0,2,0,0,7,3,0,8,0,3,,,0
INT-World Cup,2022,Poland,Michał Skóraś,Poland,MF,22,2000,0.5,0,0,0,1,2,0,0,1,0,,,0
INT-World Cup,2022,Poland,Nicola Zalewski,Poland,MF,20,2002,0.7,0,0,0,1,2,0,1,0,0,,,0
INT-World Cup,2022,Poland,Piotr Zieliński,Poland,MF,28,1994,3.6,0,0,0,4,2,0,16,1,5,,,0
INT-World Cup,2022,Poland,Przemysław Frankowski,Poland,MF,27,1995,2.7,1,0,0,1,5,0,8,3,4,,,0
INT-World Cup,2022,Poland,Robert Lewandowski,Poland,FW,33,1988,4.0,0,0,0,6,9,0,3,2,3,,,0
INT-World Cup,2022,Poland,Sebastian Szymański,Poland,MF,23,1999,1.5,0,0,0,1,3,0,3,2,3,,,0
INT-World Cup,2022,Poland,Wojciech Szczęsny,Poland,GK,32,1990,4.0,0,0,0,1,1,0,0,0,0,,,0
INT-World Cup,2022,Portugal,André Silva,Portugal,FW,26,1995,0.3,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Portugal,António Silva,Portugal,DF,18,2003,1.0,0,0,0,2,0,0,0,1,1,,,0
INT-World Cup,2022,Portugal,Bernardo Silva,Portugal,MF,27,1994,4.0,0,0,0,1,2,0,5,2,2,,,0
INT-World Cup,2022,Portugal,Bruno Fernandes,Portugal,FW,27,1994,4.0,1,0,0,2,8,1,26,2,2,,,0
INT-World Cup,2022,Portugal,Cristiano Ronaldo,Portugal,FW,37,1985,3.2,0,0,0,2,5,7,2,0,0,,,0
INT-World Cup,2022,Portugal,Danilo Pereira,Portugal,DF,30,1991,1.0,1,0,0,1,2,0,0,3,1,,,0
INT-World Cup,2022,Portugal,Diogo Costa,Portugal,GK,22,1999,5.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Portugal,Diogo Dalot,Portugal,DF,23,1999,2.9,0,0,0,1,1,0,9,2,6,,,0
INT-World Cup,2022,Portugal,Gonçalo Ramos,Portugal,FW,20,2001,1.7,0,0,0,2,3,3,0,0,1,,,0
INT-World Cup,2022,Portugal,João Cancelo,Portugal,DF,28,1994,3.4,0,0,0,2,4,1,15,2,3,,,0
INT-World Cup,2022,Portugal,João Félix,Portugal,FW,22,1999,3.7,1,0,0,8,9,1,4,2,2,,,0
INT-World Cup,2022,Portugal,João Mário,Portugal,MF,29,1993,0.9,0,0,0,0,0,0,2,0,1,,,0
INT-World Cup,2022,Portugal,João Palhinha,Portugal,MF,26,1995,0.4,0,0,0,2,0,0,0,1,1,,,0
INT-World Cup,2022,Portugal,Matheus Nunes,Portugal,MF,23,1998,0.8,0,0,0,2,2,0,3,0,0,,,0
INT-World Cup,2022,Portugal,Nuno Mendes,Portugal,DF,19,2002,0.5,0,0,0,0,2,0,2,2,0,,,0
INT-World Cup,2022,Portugal,Otávio,Portugal,MF,27,1995,2.2,0,0,0,6,10,0,5,1,7,,,0
INT-World Cup,2022,Portugal,Pepe,Portugal,DF,39,1983,4.0,0,0,0,3,5,1,1,6,0,,,0
INT-World Cup,2022,Portugal,Rafael Leão,Portugal,"FW,MF",23,1999,1.0,0,0,0,3,1,0,6,1,0,,,0
INT-World Cup,2022,Portugal,Raphaël Guerreiro,Portugal,DF,28,1993,3.1,0,0,0,2,1,0,14,3,2,,,0
INT-World Cup,2022,Portugal,Ricardo Horta,Portugal,FW,27,1994,1.3,0,0,0,3,1,0,5,1,1,,,0
INT-World Cup,2022,Portugal,Rúben Dias,Portugal,DF,25,1997,4.0,1,0,0,4,2,0,0,3,3,,,0
INT-World Cup,2022,Portugal,Rúben Neves,Portugal,MF,25,1997,3.0,1,0,0,5,2,0,2,2,1,,,0
INT-World Cup,2022,Portugal,Vitinha,Portugal,FW,22,2000,1.3,1,0,0,1,3,0,2,0,2,,,0
INT-World Cup,2022,Portugal,William Carvalho,Portugal,MF,30,1992,2.4,0,0,0,3,2,0,0,0,6,,,0
INT-World Cup,2022,Qatar,Abdelkarim Hassan,Qatar,DF,28,1993,3.0,0,0,0,1,4,1,6,1,3,,,0
INT-World Cup,2022,Qatar,Abdulaziz Hatem,Qatar,MF,32,1990,2.2,0,0,0,4,1,0,1,1,1,,,0
INT-World Cup,2022,Qatar,Ahmed Alaaeldin,Qatar,FW,29,1993,0.1,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Qatar,Akram Afif,Qatar,FW,25,1996,3.0,1,0,0,2,6,1,13,0,0,,,0
INT-World Cup,2022,Qatar,Ali Assadalla,Qatar,"FW,MF",29,1993,0.3,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Qatar,Almoez Ali,Qatar,FW,25,1996,2.5,1,0,0,2,2,3,0,1,0,,,0
INT-World Cup,2022,Qatar,Assim Madibo,Qatar,MF,25,1996,1.7,1,0,0,1,1,0,0,2,4,,,0
INT-World Cup,2022,Qatar,Bassam Al-Rawi,Qatar,DF,24,1997,1.0,0,0,0,1,2,0,0,0,0,,,0
INT-World Cup,2022,Qatar,Boualem Khoukhi,Qatar,DF,31,1990,3.0,0,0,0,1,5,0,0,3,2,,,0
INT-World Cup,2022,Qatar,Hassan Al-Haydos,Qatar,MF,31,1990,2.3,0,0,0,4,0,1,4,2,1,,,0
INT-World Cup,2022,Qatar,Homam Ahmed,Qatar,"DF,MF",22,1999,2.9,1,0,0,5,8,0,5,2,2,,,0
INT-World Cup,2022,Qatar,Ismaeel Mohammad,Qatar,DF,32,1990,1.9,1,0,0,1,6,1,8,2,2,,,0
INT-World Cup,2022,Qatar,Karim Boudiaf,Qatar,MF,31,1990,2.1,1,0,0,2,1,0,0,0,1,,,0
INT-World Cup,2022,Qatar,Meshaal Barsham,Qatar,GK,24,1998,2.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Qatar,Mohammed Muntari,Qatar,FW,28,1993,0.7,0,0,0,1,2,0,0,0,2,,,0
INT-World Cup,2022,Qatar,Mohammed Waad,Qatar,MF,22,1999,0.3,0,0,0,1,0,0,1,1,0,,,0
INT-World Cup,2022,Qatar,Musab Kheder,Qatar,DF,28,1993,0.1,0,0,0,0,1,0,0,0,1,,,0
INT-World Cup,2022,Qatar,Ró-Ró,Qatar,"DF,MF",31,1990,2.9,0,0,0,4,5,0,3,8,4,,,0
INT-World Cup,2022,Qatar,Saad Al Sheeb,Qatar,GK,32,1990,1.0,1,0,0,1,1,0,0,0,0,,,0
INT-World Cup,2022,Qatar,Tarek Salman,Qatar,"DF,MF",24,1997,0.1,0,0,0,0,0,0,1,1,1,,,0
INT-World Cup,2022,Saudi Arabia,Abdulelah Al-Amri,Saudi Arabia,DF,25,1997,2.0,2,0,0,3,3,0,1,4,0,,,0
INT-World Cup,2022,Saudi Arabia,Abdulellah Al-Malki,Saudi Arabia,MF,27,1994,1.9,2,0,0,8,4,0,1,3,1,,,0
INT-World Cup,2022,Saudi Arabia,Abdullah Madu,Saudi Arabia,DF,28,1993,0.5,1,0,0,1,0,0,0,1,0,,,0
INT-World Cup,2022,Saudi Arabia,Abdulrahman Al-Aboud,Saudi Arabia,MF,27,1995,0.4,0,0,0,0,0,0,3,0,3,,,0
INT-World Cup,2022,Saudi Arabia,Ali Al Hassan,Saudi Arabia,MF,25,1997,0.5,1,0,0,2,0,0,1,0,1,,,0
INT-World Cup,2022,Saudi Arabia,Ali Al-Bulaihi,Saudi Arabia,DF,32,1989,2.4,1,0,0,1,1,0,0,3,2,,,0
INT-World Cup,2022,Saudi Arabia,Asiri Haitham,Saudi Arabia,FW,21,2001,0.0,0,0,0,1,0,0,0,0,0,,,0
INT-World Cup,2022,Saudi Arabia,Firas Al-Buraikan,Saudi Arabia,FW,22,2000,3.0,0,0,0,2,3,1,2,2,3,,,0
INT-World Cup,2022,Saudi Arabia,Hassan Al Tambakti,Saudi Arabia,DF,23,1999,2.0,1,0,0,2,5,0,0,2,2,,,0
INT-World Cup,2022,Saudi Arabia,Hattan Bahebri,Saudi Arabia,"FW,MF",29,1992,0.0,1,0,0,2,0,0,0,0,0,,,0
INT-World Cup,2022,Saudi Arabia,Mohamed Kanno,Saudi Arabia,MF,27,1994,3.0,0,0,0,8,3,1,0,2,3,,,0
INT-World Cup,2022,Saudi Arabia,Mohammed Al-Breik,Saudi Arabia,DF,29,1992,0.7,0,0,0,0,1,0,3,0,0,,,0
INT-World Cup,2022,Saudi Arabia,Mohammed Al-Owais,Saudi Arabia,GK,30,1991,3.0,1,0,0,0,3,0,0,0,0,,,0
INT-World Cup,2022,Saudi Arabia,Nasser Al-Dawsari,Saudi Arabia,"DF,MF",23,1998,0.1,0,0,0,1,0,0,1,0,1,,,0
INT-World Cup,2022,Saudi Arabia,Nawaf Al Abed,Saudi Arabia,"FW,MF",32,1990,1.0,1,0,0,2,2,0,2,1,0,,,0
INT-World Cup,2022,Saudi Arabia,Riyadh Sharahili,Saudi Arabia,MF,29,1993,0.6,0,0,0,4,0,0,0,1,0,,,0
INT-World Cup,2022,Saudi Arabia,Saleh Al-Shehri,Saudi Arabia,FW,28,1993,2.5,1,0,0,6,5,0,1,0,1,,,0
INT-World Cup,2022,Saudi Arabia,Salem Al-Dawsari,Saudi Arabia,FW,30,1991,3.0,1,0,0,3,3,0,4,1,4,,,0
INT-World Cup,2022,Saudi Arabia,Salman Al-Faraj,Saudi Arabia,MF,32,1989,0.5,0,0,0,0,0,0,1,0,0,,,0
INT-World Cup,2022,Saudi Arabia,Sami Al-Najei,Saudi Arabia,MF,25,1997,0.5,0,0,0,0,0,0,5,0,0,,,0
INT-World Cup,2022,Saudi Arabia,Saud Abdulhamid,Saudi Arabia,"DF,MF",22,1999,3.0,1,0,0,7,5,0,9,1,3,,,0
INT-World Cup,2022,Saudi Arabia,Sultan Al-Ghanam,Saudi Arabia,DF,28,1994,1.4,0,0,0,2,0,1,7,2,0,,,0
INT-World Cup,2022,Saudi Arabia,Yasser Al-Shahrani,Saudi Arabia,DF,30,1992,1.0,0,0,0,1,0,0,1,6,1,,,0
INT-World Cup,2022,Senegal,Abdou Diallo,Senegal,DF,26,1996,3.7,0,0,0,3,0,0,3,1,2,,,0
INT-World Cup,2022,Senegal,Bamba Dieng,Senegal,FW,22,2000,1.1,0,0,0,5,3,0,1,0,1,,,0
INT-World Cup,2022,Senegal,Boulaye Dia,Senegal,"FW,MF",25,1996,3.5,1,0,0,3,3,2,1,1,0,,,0
INT-World Cup,2022,Senegal,Cheikhou Kouyaté,Senegal,MF,32,1989,0.8,0,0,0,1,1,0,2,2,1,,,0
INT-World Cup,2022,Senegal,Famara Diedhiou,Senegal,FW,29,1992,1.0,0,0,0,2,2,1,0,0,0,,,0
INT-World Cup,2022,Senegal,Fodé Ballo-Touré,Senegal,"DF,MF",25,1997,0.1,0,0,0,0,0,0,2,0,0,,,0
INT-World Cup,2022,Senegal,Idrissa Gueye,Senegal,MF,32,1989,3.0,2,0,0,4,1,0,15,4,1,,,0
INT-World Cup,2022,Senegal,Iliman Ndiaye,Senegal,"MF,FW",22,2000,1.5,0,0,0,0,1,0,2,1,0,,,0
INT-World Cup,2022,Senegal,Ismail Jakobs,Senegal,DF,22,1999,3.1,1,0,0,3,6,0,18,4,0,,,0
INT-World Cup,2022,Senegal,Ismaila Sarr,Senegal,"MF,FW",24,1998,3.8,0,0,0,3,17,3,8,2,2,,,0
INT-World Cup,2022,Senegal,Kalidou Koulibaly,Senegal,DF,30,1991,4.0,1,0,0,3,3,0,0,2,9,,,0
INT-World Cup,2022,Senegal,Krépin Diatta,Senegal,"MF,FW",23,1999,2.0,0,0,0,4,2,2,4,0,0,,,0
INT-World Cup,2022,Senegal,Nampalys Mendy,Senegal,MF,29,1992,3.0,1,0,0,5,2,0,2,3,4,,,0
INT-World Cup,2022,Senegal,Nicolas Jackson,Senegal,FW,20,2001,0.2,0,0,0,1,0,0,0,0,0,,,0
INT-World Cup,2022,Senegal,Pape Abou Cissé,Senegal,DF,26,1995,1.2,0,0,0,1,0,0,0,2,0,,,0
INT-World Cup,2022,Senegal,Pape Gueye,Senegal,MF,23,1999,1.7,0,0,0,3,3,0,1,2,2,,,0
INT-World Cup,2022,Senegal,Pape Matar Sarr,Senegal,MF,19,2002,0.7,0,0,0,0,1,0,5,0,2,,,0
INT-World Cup,2022,Senegal,Pathé Ciss,Senegal,MF,28,1994,1.6,1,0,0,4,0,0,0,2,3,,,0
INT-World Cup,2022,Senegal,Youssouf Sabaly,Senegal,DF,29,1993,4.0,0,0,0,3,12,0,7,4,6,,,0
INT-World Cup,2022,Senegal,Édouard Mendy,Senegal,GK,30,1992,4.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Serbia,Aleksandar Mitrović,Serbia,FW,27,1994,2.9,1,0,0,3,1,1,1,0,0,,,0
INT-World Cup,2022,Serbia,Andrija Živković,Serbia,MF,25,1996,2.3,0,0,0,2,4,0,8,3,4,,,0
INT-World Cup,2022,Serbia,Darko Lazović,Serbia,MF,31,1990,0.3,0,0,0,0,1,0,1,0,0,,,0
INT-World Cup,2022,Serbia,Dušan Tadić,Serbia,"MF,FW",33,1988,2.9,0,0,0,7,4,1,18,1,3,,,0
INT-World Cup,2022,Serbia,Dušan Vlahović,Serbia,FW,22,2000,0.9,0,0,0,0,2,0,0,0,0,,,0
INT-World Cup,2022,Serbia,Filip Kostić,Serbia,MF,29,1992,2.0,0,0,0,3,1,2,16,0,3,,,0
INT-World Cup,2022,Serbia,Filip Mladenović,Serbia,MF,30,1991,0.7,0,0,0,0,0,0,1,0,0,,,0
INT-World Cup,2022,Serbia,Filip Đuričić,Serbia,"FW,MF",30,1992,0.2,0,0,0,0,1,0,0,0,0,,,0
INT-World Cup,2022,Serbia,Ivan Ilić,Serbia,MF,21,2001,0.4,0,0,0,0,0,0,0,1,0,,,0
INT-World Cup,2022,Serbia,Luka Jović,Serbia,FW,24,1997,0.4,1,0,0,1,0,0,0,1,0,,,0
INT-World Cup,2022,Serbia,Marko Grujić,Serbia,MF,26,1996,0.1,0,0,0,0,0,0,0,0,1,,,0
INT-World Cup,2022,Serbia,Miloš Veljković,Serbia,DF,26,1995,2.5,0,0,0,1,0,0,0,0,1,,,0
INT-World Cup,2022,Serbia,Nemanja Gudelj,Serbia,MF,30,1991,1.0,2,0,0,3,0,0,0,1,2,,,0
INT-World Cup,2022,Serbia,Nemanja Maksimović,Serbia,MF,27,1995,1.4,0,0,0,0,1,0,2,3,3,,,0
INT-World Cup,2022,Serbia,Nemanja Radonjić,Serbia,"FW,MF",26,1996,0.7,0,0,0,0,2,0,6,0,0,,,0
INT-World Cup,2022,Serbia,Nikola Milenković,Serbia,DF,24,1997,3.0,2,0,0,8,2,0,1,5,6,,,0
INT-World Cup,2022,Serbia,Saša Lukić,Serbia,MF,25,1996,2.7,2,0,0,7,1,0,1,1,1,,,0
INT-World Cup,2022,Serbia,Sergej Milinković-Savić,Serbia,"MF,FW",27,1995,2.6,1,0,0,2,4,0,1,2,1,,,0
INT-World Cup,2022,Serbia,Srđan Babić,Serbia,DF,26,1996,0.1,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Serbia,Stefan Mitrović,Serbia,DF,32,1990,0.4,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Serbia,Strahinja Pavlović,Serbia,DF,21,2001,2.6,2,0,0,6,4,0,1,1,2,,,0
INT-World Cup,2022,Serbia,Vanja Milinković-Savić,Serbia,GK,25,1997,3.0,0,0,0,0,0,0,0,1,0,,,0
INT-World Cup,2022,Spain,Alejandro Balde,Spain,DF,18,2003,1.4,0,0,0,2,1,0,2,0,6,,,0
INT-World Cup,2022,Spain,Ansu Fati,Spain,"FW,MF",19,2002,0.5,0,0,0,0,0,0,1,0,1,,,0
INT-World Cup,2022,Spain,Aymeric Laporte,Spain,DF,28,1994,3.3,1,0,0,3,2,0,0,2,0,,,0
INT-World Cup,2022,Spain,Carlos Soler,Spain,MF,25,1997,1.0,0,0,0,0,1,0,3,0,0,,,0
INT-World Cup,2022,Spain,César Azpilicueta,Spain,DF,32,1989,1.5,0,0,0,2,0,0,3,1,0,,,0
INT-World Cup,2022,Spain,Dani Carvajal,Spain,DF,30,1992,1.5,0,0,0,0,1,0,0,2,1,,,0
INT-World Cup,2022,Spain,Dani Olmo,Spain,FW,24,1998,4.1,0,0,0,5,6,2,10,1,4,,,0
INT-World Cup,2022,Spain,Ferrán Torres,Spain,FW,22,2000,2.4,0,0,0,1,5,2,9,0,0,,,0
INT-World Cup,2022,Spain,Gavi,Spain,MF,17,2004,3.2,0,0,0,8,14,0,4,1,3,,,0
INT-World Cup,2022,Spain,Jordi Alba,Spain,DF,33,1989,2.9,0,0,0,4,3,1,14,3,4,,,0
INT-World Cup,2022,Spain,Koke,Spain,MF,30,1992,0.6,0,0,0,0,0,0,0,0,1,,,0
INT-World Cup,2022,Spain,Marco Asensio,Spain,FW,26,1996,2.5,0,0,0,3,3,0,8,0,1,,,0
INT-World Cup,2022,Spain,Marcos Llorente,Spain,DF,27,1995,1.3,0,0,0,1,0,0,2,0,0,,,0
INT-World Cup,2022,Spain,Nico Williams,Spain,FW,19,2002,1.6,0,0,0,0,1,1,6,0,2,,,0
INT-World Cup,2022,Spain,Pablo Sarabia,Spain,"FW,MF",30,1992,0.0,0,0,0,0,0,0,3,0,0,,,0
INT-World Cup,2022,Spain,Pau Torres,Spain,DF,25,1997,1.0,0,0,0,1,0,0,0,0,0,,,0
INT-World Cup,2022,Spain,Pedri,Spain,MF,19,2002,4.0,0,0,0,2,3,0,2,4,2,,,0
INT-World Cup,2022,Spain,Rodri,Spain,DF,25,1996,4.3,0,0,0,5,1,0,2,3,2,,,0
INT-World Cup,2022,Spain,Sergio Busquets,Spain,MF,33,1988,4.0,1,0,0,3,3,0,0,1,4,,,0
INT-World Cup,2022,Spain,Unai Simón,Spain,GK,25,1997,4.3,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Spain,Álvaro Morata,Spain,FW,29,1992,2.1,0,0,0,1,2,5,0,0,1,,,0
INT-World Cup,2022,Switzerland,Ardon Jashari,Switzerland,MF,19,2002,0.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Switzerland,Breel Embolo,Switzerland,FW,25,1997,3.6,0,0,0,3,12,2,0,0,0,,,0
INT-World Cup,2022,Switzerland,Christian Fassnacht,Switzerland,"FW,MF",28,1993,0.1,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Switzerland,Denis Zakaria,Switzerland,"DF,MF",25,1996,0.7,0,0,0,1,2,0,0,3,0,,,0
INT-World Cup,2022,Switzerland,Djibril Sow,Switzerland,MF,25,1997,2.9,0,0,0,2,7,0,1,2,1,,,0
INT-World Cup,2022,Switzerland,Edimilson Fernandes,Switzerland,MF,26,1996,1.6,0,0,0,1,1,1,5,2,1,,,0
INT-World Cup,2022,Switzerland,Eray Cömert,Switzerland,DF,24,1998,0.5,1,0,0,3,1,0,0,2,0,,,0
INT-World Cup,2022,Switzerland,Fabian Frei,Switzerland,"DF,MF",33,1989,0.3,0,0,0,1,0,0,0,1,1,,,0
INT-World Cup,2022,Switzerland,Fabian Rieder,Switzerland,MF,20,2002,0.8,1,0,0,4,2,0,1,0,2,,,0
INT-World Cup,2022,Switzerland,Fabian Schär,Switzerland,DF,30,1991,1.5,2,0,0,1,2,0,0,2,1,,,0
INT-World Cup,2022,Switzerland,Granit Xhaka,Switzerland,MF,29,1992,4.0,1,0,0,5,4,0,0,2,4,,,0
INT-World Cup,2022,Switzerland,Gregor Kobel,Switzerland,GK,24,1997,1.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Switzerland,Haris Seferović,Switzerland,FW,30,1992,0.8,0,0,0,1,0,0,0,0,0,,,0
INT-World Cup,2022,Switzerland,Manuel Akanji,Switzerland,DF,26,1995,4.0,1,0,0,4,1,0,1,3,2,,,0
INT-World Cup,2022,Switzerland,Michel Aebischer,Switzerland,MF,25,1997,0.2,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Switzerland,Nico Elvedi,Switzerland,DF,25,1996,2.0,1,0,0,3,1,0,0,1,0,,,0
INT-World Cup,2022,Switzerland,Noah Okafor,Switzerland,"FW,MF",22,2000,0.5,0,0,0,2,1,1,0,0,0,,,0
INT-World Cup,2022,Switzerland,Remo Freuler,Switzerland,MF,30,1992,3.6,0,0,0,6,2,0,0,3,5,,,0
INT-World Cup,2022,Switzerland,Renato Steffen,Switzerland,"FW,MF",30,1991,0.4,0,0,0,0,1,1,0,0,0,,,0
INT-World Cup,2022,Switzerland,Ricardo Rodríguez,Switzerland,DF,29,1992,4.0,0,0,0,6,2,0,12,0,2,,,0
INT-World Cup,2022,Switzerland,Ruben Vargas,Switzerland,"MF,FW",23,1998,3.2,1,0,0,4,2,1,15,1,0,,,0
INT-World Cup,2022,Switzerland,Silvan Widmer,Switzerland,DF,29,1993,2.9,1,0,0,4,2,0,2,2,6,,,0
INT-World Cup,2022,Switzerland,Xherdan Shaqiri,Switzerland,"FW,MF",30,1991,2.5,0,0,0,2,6,0,15,0,0,,,0
INT-World Cup,2022,Switzerland,Yann Sommer,Switzerland,GK,33,1988,3.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Tunisia,Ali Abdi,Tunisia,MF,28,1993,2.1,1,0,0,5,0,1,5,4,5,,,0
INT-World Cup,2022,Tunisia,Ali Maâloul,Tunisia,MF,32,1990,1.0,0,0,0,0,0,0,13,0,1,,,0
INT-World Cup,2022,Tunisia,Anis Ben Slimane,Tunisia,FW,21,2001,1.6,0,0,0,0,0,0,8,1,1,,,0
INT-World Cup,2022,Tunisia,Aymen Dahmen,Tunisia,GK,25,1997,3.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Tunisia,Aïssa Laïdouni,Tunisia,MF,25,1996,2.7,1,0,0,3,6,0,3,3,3,,,0
INT-World Cup,2022,Tunisia,Dylan Bronn,Tunisia,DF,26,1995,1.8,0,0,0,1,1,0,0,0,1,,,0
INT-World Cup,2022,Tunisia,Ellyes Skhiri,Tunisia,MF,27,1995,3.0,0,0,0,3,2,0,2,7,2,,,0
INT-World Cup,2022,Tunisia,Ferjani Sassi,Tunisia,"DF,MF",30,1992,0.5,1,0,0,1,1,0,0,1,1,,,0
INT-World Cup,2022,Tunisia,Ghaylène Chaalali,Tunisia,MF,28,1994,0.2,0,0,0,1,0,0,0,2,0,,,0
INT-World Cup,2022,Tunisia,Hannibal Mejbri,Tunisia,MF,19,2003,0.1,0,0,0,0,0,0,0,1,0,,,0
INT-World Cup,2022,Tunisia,Issam Jebali,Tunisia,FW,30,1991,2.0,0,0,0,10,2,1,2,0,3,,,0
INT-World Cup,2022,Tunisia,Mohamed Ali Ben Romdhane,Tunisia,FW,22,1999,0.8,0,0,0,1,1,0,1,0,3,,,0
INT-World Cup,2022,Tunisia,Mohamed Dräger,Tunisia,MF,25,1996,1.5,0,0,0,2,1,0,3,1,3,,,0
INT-World Cup,2022,Tunisia,Montassar Talbi,Tunisia,DF,24,1998,3.0,0,0,0,4,2,0,0,1,2,,,0
INT-World Cup,2022,Tunisia,Nader Ghandri,Tunisia,DF,27,1995,1.0,0,0,0,0,1,1,0,1,1,,,0
INT-World Cup,2022,Tunisia,Naïm Sliti,Tunisia,FW,29,1992,1.3,0,0,0,0,3,2,13,0,1,,,0
INT-World Cup,2022,Tunisia,Taha Yassine Khenissi,Tunisia,FW,30,1992,0.3,1,0,0,3,1,0,0,0,0,,,0
INT-World Cup,2022,Tunisia,Wahbi Khazri,Tunisia,FW,31,1991,0.9,0,0,0,1,2,2,2,0,0,,,0
INT-World Cup,2022,Tunisia,Wajdi Kechrida,Tunisia,MF,26,1995,1.2,1,0,0,2,0,0,5,0,3,,,0
INT-World Cup,2022,Tunisia,Yassine Meriah,Tunisia,DF,28,1993,3.0,0,0,0,3,1,0,2,1,3,,,0
INT-World Cup,2022,Tunisia,Youssef Msakni,Tunisia,FW,31,1990,1.9,0,0,0,0,4,0,2,0,1,,,0
INT-World Cup,2022,United States,Antonee Robinson,United States,DF,24,1997,4.0,0,0,0,2,0,1,21,7,5,,,0
INT-World Cup,2022,United States,Brenden Aaronson,United States,"FW,MF",21,2000,1.2,0,0,0,3,3,0,3,1,2,,,0
INT-World Cup,2022,United States,Cameron Carter-Vickers,United States,DF,24,1997,1.0,0,0,0,0,1,0,0,0,0,,,0
INT-World Cup,2022,United States,Christian Pulisic,United States,"FW,MF",23,1998,3.5,0,0,0,2,11,1,31,0,0,,,0
INT-World Cup,2022,United States,DeAndre Yedlin,United States,"DF,MF",28,1993,0.4,0,0,0,2,0,0,4,0,1,,,0
