league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off
INT-World Cup,2018,Belgium,Mousa Dembélé,Belgium,MF,30,1987,4,179,45,28.4,2.0,2,76,1,2,14,3,2.25,3,1,2,1.01,-0.59
INT-World Cup,2018,Belgium,Nacer Chadli,Belgium,MF,28,1989,6,326,54,51.7,3.6,4,75,1,2,13,1,2.5,7,2,5,1.38,-0.1
INT-World Cup,2018,Belgium,Romelu Lukaku,Belgium,FW,25,1993,6,473,79,75.1,5.3,6,79,3,0,,1,2.5,13,5,8,1.52,0.38
INT-World Cup,2018,Belgium,Simon Mignolet,Belgium,GK,30,1988,0,,,,,0,,0,0,,7,,,,,,
INT-World Cup,2018,Belgium,Thibaut Courtois,Belgium,GK,26,1992,7,630,90,100.0,7.0,7,90,7,0,,0,2.57,16,6,10,1.43,
INT-World Cup,2018,Belgium,Thomas Meunier,Belgium,MF,26,1991,5,450,90,71.4,5.0,5,90,5,0,,1,3.0,15,5,10,2.0,2.0
INT-World Cup,2018,Belgium,Thomas Vermaelen,Belgium,DF,32,1985,3,133,44,21.1,1.5,1,75,0,2,29,3,3.0,2,0,2,1.35,-0.1
INT-World Cup,2018,Belgium,Thorgan Hazard,Belgium,MF,25,1993,2,98,49,15.6,1.1,1,91,1,1,7,5,3.0,1,0,1,0.92,-0.6
INT-World Cup,2018,Belgium,Toby Alderweireld,Belgium,DF,29,1989,6,540,90,85.7,6.0,6,90,6,0,,1,2.5,15,6,9,1.5,0.5
INT-World Cup,2018,Belgium,Vincent Kompany,Belgium,DF,32,1986,5,377,75,59.8,4.2,4,90,4,1,16,1,2.4,7,4,3,0.72,-1.77
INT-World Cup,2018,Belgium,Yannick Carrasco,Belgium,MF,24,1993,4,238,60,37.8,2.6,3,76,1,1,10,3,2.25,7,4,3,1.13,-0.47
INT-World Cup,2018,Belgium,Youri Tielemans,Belgium,"MF,FW",21,1997,4,176,44,27.9,2.0,2,85,1,2,4,3,3.0,3,1,2,1.02,-0.56
INT-World Cup,2018,Brazil,Alisson,Brazil,GK,25,1992,5,450,90,100.0,5.0,5,90,5,0,,0,2.0,8,3,5,1.0,
INT-World Cup,2018,Brazil,Casemiro,Brazil,MF,26,1992,4,329,82,73.1,3.7,4,82,3,0,,0,2.5,7,1,6,1.64,2.39
INT-World Cup,2018,Brazil,Cássio,Brazil,GK,31,1987,0,,,,,0,,0,0,,5,,,,,,
INT-World Cup,2018,Brazil,Danilo,Brazil,DF,26,1991,1,90,90,20.0,1.0,1,90,1,0,,2,1.0,1,1,0,0.0,-1.25
INT-World Cup,2018,Brazil,Douglas Costa,Brazil,"FW,MF",27,1990,2,78,39,17.3,0.9,0,,0,2,39,1,1.5,3,0,3,3.46,2.98
INT-World Cup,2018,Brazil,Ederson Moraes,Brazil,GK,24,1993,0,,,,,0,,0,0,,5,,,,,,
INT-World Cup,2018,Brazil,Fagner,Brazil,DF,29,1989,4,360,90,80.0,4.0,4,90,4,0,,1,2.25,7,2,5,1.25,1.25
INT-World Cup,2018,Brazil,Fernandinho,Brazil,MF,33,1985,5,158,32,35.1,1.8,1,94,1,4,16,0,2.0,4,2,2,1.14,0.21
INT-World Cup,2018,Brazil,Filipe Luís,Brazil,DF,32,1985,2,171,86,38.0,1.9,1,91,1,1,80,3,3.0,4,0,4,2.11,1.78
INT-World Cup,2018,Brazil,Fred,Brazil,"FW,MF",25,1993,0,,,,,0,,0,0,,4,,,,,,
INT-World Cup,2018,Brazil,Gabriel Jesus,Brazil,FW,21,1997,5,404,81,89.8,4.5,5,81,2,0,,0,2.0,5,3,2,0.45,-5.42
INT-World Cup,2018,Brazil,Marcelo,Brazil,DF,30,1988,4,279,70,62.0,3.1,4,70,3,0,,1,1.75,4,3,1,0.32,-1.78
INT-World Cup,2018,Brazil,Marquinhos,Brazil,"DF,MF",24,1994,1,1,1,0.2,0.0,0,,0,1,0,4,3.0,0,0,0,0.0,-1.0
INT-World Cup,2018,Brazil,Miranda,Brazil,DF,33,1984,5,450,90,100.0,5.0,5,90,5,0,,0,2.0,8,3,5,1.0,
INT-World Cup,2018,Brazil,Neymar,Brazil,MF,26,1992,5,450,90,100.0,5.0,5,90,5,0,,0,2.0,8,3,5,1.0,
INT-World Cup,2018,Brazil,Paulinho,Brazil,MF,29,1988,5,349,70,77.6,3.9,5,70,0,0,,0,2.0,3,3,0,0.0,-4.46
INT-World Cup,2018,Brazil,Pedro Geromel,Brazil,DF,32,1985,0,,,,,0,,0,0,,5,,,,,,
INT-World Cup,2018,Brazil,Philippe Coutinho,Brazil,MF,26,1992,5,434,87,96.4,4.8,5,87,3,0,,0,2.0,7,3,4,0.83,-4.8
INT-World Cup,2018,Brazil,Renato Augusto,Brazil,MF,30,1988,3,53,18,11.8,0.6,0,,0,3,17,2,1.33,1,0,1,1.7,0.79
INT-World Cup,2018,Brazil,Roberto Firmino,Brazil,"FW,MF",26,1991,4,85,21,18.9,0.9,0,,0,4,21,1,1.75,4,0,4,4.24,3.99
INT-World Cup,2018,Brazil,Taison,Brazil,"FW,MF",30,1988,0,,,,,0,,0,0,,5,,,,,,
INT-World Cup,2018,Brazil,Thiago Silva,Brazil,DF,33,1984,5,450,90,100.0,5.0,5,90,5,0,,0,2.0,8,3,5,1.0,
INT-World Cup,2018,Brazil,Willian,Brazil,MF,29,1988,5,359,72,79.8,4.0,5,72,2,0,,0,2.0,5,3,2,0.5,-2.47
INT-World Cup,2018,Colombia,Abel Aguilar,Colombia,MF,33,1985,1,31,31,7.9,0.3,1,31,0,0,,2,3.0,0,0,0,0.0,-0.75
INT-World Cup,2018,Colombia,Camilo Vargas,Colombia,GK,29,1989,0,,,,,0,,0,0,,4,,,,,,
INT-World Cup,2018,Colombia,Carlos Bacca,Colombia,FW,31,1986,3,94,31,24.1,1.0,0,,0,3,30,1,1.0,1,1,0,0.0,-0.91
INT-World Cup,2018,Colombia,Carlos Sánchez,Colombia,MF,32,1986,3,170,57,43.6,1.9,3,57,1,0,,0,1.0,1,1,0,0.0,-1.23
INT-World Cup,2018,Colombia,Cristián Zapata,Colombia,DF,31,1986,1,5,5,1.3,0.1,0,,0,1,4,3,0.0,0,0,0,0.0,-0.7
INT-World Cup,2018,Colombia,David Ospina,Colombia,GK,29,1988,4,390,98,100.0,4.3,4,98,4,0,,0,1.5,6,3,3,0.69,
INT-World Cup,2018,Colombia,Davinson Sánchez,Colombia,DF,22,1996,4,390,98,100.0,4.3,4,98,4,0,,0,1.5,6,3,3,0.69,
INT-World Cup,2018,Colombia,Farid Díaz,Colombia,DF,34,1983,0,,,,,0,,0,0,,4,,,,,,
INT-World Cup,2018,Colombia,James Rodríguez,Colombia,MF,26,1991,3,152,51,39.0,1.7,2,61,1,1,31,0,2.0,3,1,2,1.18,0.81
INT-World Cup,2018,Colombia,Jefferson Lerma,Colombia,MF,23,1994,4,176,44,45.1,2.0,2,76,1,2,12,0,1.5,2,3,-1,-0.51,-2.19
INT-World Cup,2018,Colombia,Johan Mojica,Colombia,DF,25,1992,4,390,98,100.0,4.3,4,98,4,0,,0,1.5,6,3,3,0.69,
INT-World Cup,2018,Colombia,José Cuadrado,Colombia,GK,33,1985,0,,,,,0,,0,0,,4,,,,,,
INT-World Cup,2018,Colombia,José Izquierdo,Colombia,MF,25,1992,1,69,69,17.7,0.8,1,69,0,0,,3,0.0,1,1,0,0.0,-0.84
INT-World Cup,2018,Colombia,Juan Cuadrado,Colombia,MF,30,1988,4,330,83,84.6,3.7,4,83,3,0,,0,1.5,5,2,3,0.82,0.82
INT-World Cup,2018,Colombia,Juan Quintero,Colombia,MF,25,1993,4,307,77,78.7,3.4,4,77,1,0,,0,1.5,4,2,2,0.59,-0.5
INT-World Cup,2018,Colombia,Luis Muriel,Colombia,FW,27,1991,2,93,47,23.8,1.0,0,,0,2,46,2,1.5,2,0,2,1.94,1.63
INT-World Cup,2018,Colombia,Mateus Uribe,Colombia,MF,27,1991,3,183,61,46.9,2.0,1,84,0,2,50,1,2.0,5,0,5,2.46,3.33
INT-World Cup,2018,Colombia,Miguel Borja,Colombia,FW,25,1993,1,2,2,0.5,0.0,0,,0,1,1,2,3.0,0,0,0,0.0,-0.7
INT-World Cup,2018,Colombia,Radamel Falcao,Colombia,FW,32,1986,4,375,94,96.2,4.2,4,94,2,0,,0,1.5,6,3,3,0.72,0.72
INT-World Cup,2018,Colombia,Santiago Arias,Colombia,DF,26,1992,4,385,96,98.7,4.3,4,96,3,0,,0,1.5,6,3,3,0.7,0.7
INT-World Cup,2018,Colombia,Wílmar Barrios,Colombia,MF,24,1993,3,270,90,69.2,3.0,2,106,2,1,59,1,1.0,5,2,3,1.0,1.0
INT-World Cup,2018,Colombia,Yerry Mina,Colombia,DF,23,1994,3,300,100,76.9,3.3,3,100,3,0,,1,2.0,5,1,4,1.2,2.2
INT-World Cup,2018,Colombia,Óscar Murillo,Colombia,DF,30,1988,1,90,90,23.1,1.0,1,90,1,0,,3,0.0,1,2,-1,-1.0,-2.2
INT-World Cup,2018,Costa Rica,Bryan Oviedo,Costa Rica,DF,28,1990,2,180,90,66.7,2.0,2,90,2,0,,1,0.5,2,4,-2,-1.0,0.0
INT-World Cup,2018,Costa Rica,Bryan Ruiz,Costa Rica,FW,32,1985,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,5,-3,-1.0,
INT-World Cup,2018,Costa Rica,Celso Borges,Costa Rica,MF,30,1988,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,5,-3,-1.0,
INT-World Cup,2018,Costa Rica,Christian Bolaños,Costa Rica,MF,34,1984,2,68,34,25.2,0.8,0,,0,2,33,1,0.0,0,2,-2,-2.65,-2.2
INT-World Cup,2018,Costa Rica,Cristian Gamboa,Costa Rica,DF,28,1989,3,253,84,93.7,2.8,3,84,1,0,,0,0.33,1,3,-2,-0.71,4.58
INT-World Cup,2018,Costa Rica,Daniel Colindres,Costa Rica,FW,33,1985,2,98,49,36.3,1.1,1,81,0,1,17,1,0.5,1,1,0,0.0,1.57
INT-World Cup,2018,Costa Rica,David Guzmán,Costa Rica,MF,28,1990,3,243,81,90.0,2.7,3,81,0,0,,0,0.33,1,3,-2,-0.74,2.59
INT-World Cup,2018,Costa Rica,Francisco Calvo,Costa Rica,DF,25,1992,2,106,53,39.3,1.2,1,91,1,1,15,1,0.0,0,3,-3,-2.55,-2.55
INT-World Cup,2018,Costa Rica,Giancarlo González,Costa Rica,DF,30,1988,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,5,-3,-1.0,
INT-World Cup,2018,Costa Rica,Ian Smith,Costa Rica,MF,20,1998,1,1,1,0.4,0.0,0,,0,1,0,2,1.0,0,0,0,0.0,1.0
INT-World Cup,2018,Costa Rica,Joel Campbell,Costa Rica,FW,25,1992,2,115,58,42.6,1.3,1,91,1,1,24,1,0.5,2,2,0,0.0,1.74
INT-World Cup,2018,Costa Rica,Johan Venegas,Costa Rica,FW,29,1988,2,149,75,55.2,1.7,2,75,1,0,,1,0.0,0,3,-3,-1.81,-1.81
INT-World Cup,2018,Costa Rica,Johnny Acosta,Costa Rica,DF,34,1983,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,5,-3,-1.0,
INT-World Cup,2018,Costa Rica,Kendall Waston,Costa Rica,DF,30,1988,1,90,90,33.3,1.0,1,90,1,0,,2,1.0,2,2,0,0.0,1.5
INT-World Cup,2018,Costa Rica,Kenner Gutiérrez,Costa Rica,"DF,MF",29,1989,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Costa Rica,Keylor Navas,Costa Rica,GK,31,1986,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,5,-3,-1.0,
INT-World Cup,2018,Costa Rica,Leonel Moreira,Costa Rica,GK,28,1990,0,,,,,0,,0,0,,3,,,,,,
