league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt,playing_time_playing_time_mp,playing_time_playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,misc_90s,misc_performance_crdy,misc_performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
INT-World Cup,2018,Argentina,Ángel Di María,Argentina,"MF,FW",30,1988,3.0,3.0,235.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.38,0.38,2.6,1.0,3.0,1.0,33.3,1.15,0.38,0.33,1.0,0.0,0.0,3,235.0,78.0,65.3,2.6,3,78.0,1,0,,1,1.33,5.0,6.0,-1.0,-0.38,1.06,2.6,0.0,0.0,0.0,1.0,7.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Éver Banega,Argentina,MF,29,1988,3.0,2.0,217.0,2.4,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.83,0.83,0.0,0.83,2.4,0.0,3.0,1.0,33.3,1.24,0.41,0.0,0.0,0.0,0.0,3,217.0,72.0,60.3,2.4,2,91.0,2,1,36.0,1,1.33,5.0,5.0,0.0,0.0,1.89,2.4,2.0,0.0,0.0,3.0,3.0,0.0,9.0,2.0,6.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Aaron Mooy,Australia,MF,27,1990,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,5.0,-3.0,-1.0,,3.0,0.0,0.0,0.0,4.0,1.0,0.0,21.0,4.0,2.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Andrew Nabbout,Australia,FW,25,1992,2.0,2.0,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,2,137.0,69.0,50.7,1.5,2,69.0,0,0,,1,0.5,2.0,2.0,0.0,0.0,2.03,1.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Aziz Behich,Australia,DF,27,1990,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.67,0.0,0.0,,0.0,0.0,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,5.0,-3.0,-1.0,,3.0,1.0,0.0,0.0,4.0,2.0,0.0,8.0,1.0,3.0,0.0,0.0,1.0
INT-World Cup,2018,Australia,Brad Jones,Australia,GK,36,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Australia,Daniel Arzani,Australia,"FW,MF",19,1999,3.0,0.0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,2.0,1.0,50.0,2.86,1.43,0.0,0.0,0.0,0.0,3,63.0,21.0,23.3,0.7,0,,0,3,20.0,0,0.33,0.0,0.0,0.0,0.0,1.3,0.7,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Danny Vukovic,Australia,GK,33,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Australia,Dimitri Petratos,Australia,"FW,MF",25,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Australia,Jackson Irvine,Australia,"DF,MF",25,1993,3.0,0.0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,3,47.0,16.0,17.4,0.5,0,,0,3,15.0,0,0.33,0.0,1.0,-1.0,-1.91,-1.11,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,James Meredith,Australia,"DF,MF",30,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,
